audio_id,ground_truth,prediction,probability,error_type,language,midfiller,endfiller,synthetic,duration_seconds
0,END,CONTINUE,0.3386791678695263,false_continue,vie,False,False,True,
9,CONTINUE,END,0.524186590491454,false_end,eng,True,True,True,
17,CONTINUE,END,0.7191672753748163,false_end,vie,False,False,True,
19,CONTINUE,END,0.7353322391751425,false_end,eng,,,False,
21,CONTINUE,END,0.6965989102887332,false_end,nld,True,False,True,
28,END,CONTINUE,0.3168730331946995,false_continue,spa,False,False,True,
40,CONTINUE,END,0.4828916882849869,false_end,eng,,,True,
51,CONTINUE,END,0.7953100517820029,false_end,zho,False,True,True,
57,END,CONTINUE,0.04698181187177234,false_continue,zho,True,False,True,
61,CONTINUE,END,0.5975563915696744,false_end,mar,True,True,True,
64,CONTINUE,END,0.5925788075642755,false_end,eng,True,True,True,
67,CONTINUE,END,0.74091994841159,false_end,fra,False,True,True,
68,CONTINUE,END,0.859185846814633,false_end,rus,False,True,True,
79,CONTINUE,END,0.8296398857149335,false_end,fra,False,True,True,
82,CONTINUE,END,0.48074642872904955,false_end,eng,,,False,
84,END,CONTINUE,0.3338892571610791,false_continue,ben,False,False,True,
89,CONTINUE,END,0.9835727054048082,false_end,spa,True,False,True,
95,END,CONTINUE,0.2561307743253239,false_continue,ben,False,False,True,
101,CONTINUE,END,0.6295358727400852,false_end,nor,False,False,True,
103,CONTINUE,END,0.7511843410247222,false_end,deu,True,True,True,
104,CONTINUE,END,0.6512005634232227,false_end,kor,False,True,True,
106,CONTINUE,END,0.6680247920996351,false_end,eng,,,False,
109,CONTINUE,END,0.8464785357558143,false_end,ben,False,False,True,
113,CONTINUE,END,0.6504062624681314,false_end,ara,False,False,True,
118,CONTINUE,END,0.8683371264218702,false_end,por,False,True,True,
123,CONTINUE,END,0.9649021947830866,false_end,tur,False,True,True,
134,CONTINUE,END,0.5269554302792991,false_end,zho,False,True,True,
143,CONTINUE,END,0.5339579110619221,false_end,por,True,False,True,
149,CONTINUE,END,0.5613400063253497,false_end,eng,,,False,
159,END,CONTINUE,0.1992358124518676,false_continue,nld,True,False,True,
167,CONTINUE,END,0.792252946823704,false_end,spa,False,True,True,
173,END,CONTINUE,0.3465962462167783,false_continue,pol,False,False,True,
177,END,CONTINUE,0.3437052010828476,false_continue,ben,True,False,True,
178,CONTINUE,END,0.7057414152433569,false_end,hin,True,False,True,
181,CONTINUE,END,0.5572340373954647,false_end,vie,True,True,True,
182,END,CONTINUE,0.3508048409473675,false_continue,zho,False,False,True,
187,END,CONTINUE,0.3475795251618586,false_continue,spa,False,False,True,
189,CONTINUE,END,0.4745477552192188,false_end,fin,False,False,True,
191,END,CONTINUE,0.21760136204498917,false_continue,dan,False,False,True,
196,END,CONTINUE,0.2260537840166164,false_continue,spa,False,False,True,
198,CONTINUE,END,0.5823611616845591,false_end,vie,False,False,True,
214,CONTINUE,END,0.5003907007510394,false_end,nld,True,False,True,
216,CONTINUE,END,0.5677106061607069,false_end,spa,True,True,True,
219,CONTINUE,END,0.5106531762424816,false_end,deu,True,True,True,
220,CONTINUE,END,0.6650937291760846,false_end,ind,False,False,True,
222,CONTINUE,END,0.769307462519189,false_end,hin,True,False,True,
229,END,CONTINUE,0.29711383056564505,false_continue,nld,True,False,True,
241,CONTINUE,END,0.6357800165418177,false_end,eng,,,False,
243,CONTINUE,END,0.6783175494857834,false_end,eng,False,True,True,
246,CONTINUE,END,0.9356785133355887,false_end,mar,False,False,True,
249,CONTINUE,END,0.6963965165359661,false_end,spa,True,True,True,
272,CONTINUE,END,0.5857050541927529,false_end,eng,,,False,
273,CONTINUE,END,0.751142545522898,false_end,jpn,False,True,True,
278,CONTINUE,END,0.47298737390240947,false_end,fra,True,False,True,
291,CONTINUE,END,0.9252174961375977,false_end,zho,True,False,True,
292,CONTINUE,END,0.9189534861819262,false_end,eng,,,False,
293,CONTINUE,END,0.49888421758453966,false_end,nor,False,True,True,
304,END,CONTINUE,0.248900009332995,false_continue,eng,False,False,True,
311,CONTINUE,END,0.8922609084924339,false_end,ara,False,False,True,
317,CONTINUE,END,0.49107643928251216,false_end,nld,True,False,True,
318,END,CONTINUE,0.3469702214781385,false_continue,kor,True,False,True,
324,END,CONTINUE,0.41224452505860343,false_continue,eng,,,True,
328,CONTINUE,END,0.7512362778008213,false_end,hin,True,False,True,
333,CONTINUE,END,0.6254793671122351,false_end,por,False,True,True,
334,END,CONTINUE,0.3367040597924023,false_continue,eng,False,False,True,
338,END,CONTINUE,0.08506560684284419,false_continue,eng,True,False,True,
339,END,CONTINUE,0.29549217619530127,false_continue,ara,True,False,True,
348,CONTINUE,END,0.8073493943919929,false_end,ben,False,False,True,
350,CONTINUE,END,0.6868920938858732,false_end,tur,False,True,True,
363,CONTINUE,END,0.549887141962122,false_end,ita,True,False,True,
367,CONTINUE,END,0.7966306032403683,false_end,ara,True,False,True,
372,END,CONTINUE,0.4204614310891191,false_continue,nld,True,False,True,
386,CONTINUE,END,0.7985763674633337,false_end,spa,False,True,True,
